source,cpo_name,govt_private,state,district,city_village,location,latitude,longitude,charger_type,charger_rating,connector_rating,no_of_connector
BEE_EV_PCS_2025,Ather,Private,Gujarat,Valsad,Vapi,"Nh 48, Phase 1, Gidc, Vapi, Gujarat 396191",20.358949,72.916733,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1
BEE_EV_PCS_2025,Ather,Private,Gujarat,Surat,Surat City,"3Mg4+Wv6, Hazira, Gujarat",21.077361,72.657319,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1
BEE_EV_PCS_2025,Ather,Private,Gujarat,Surat,Surat City,"Surat - Bardoli Rd, Opp. Pragati Tata Motors, Gidc, Bardoli, Surat, Gujarat 394601",21.117214,73.096008,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1
BEE_EV_PCS_2025,Ather,Private,Gujarat,Surat,Surat City,"Ug-6, Safal Square, Opp. Prime Shoppers, Vesu, Surat, Gujarat 395007",21.148373,72.765474,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1
BEE_EV_PCS_2025,Ather,Private,Gujarat,Surat,Surat City,"G1 And G2, Milagro Milestone, Opposite Um Road, Someshwara Enclave, Vesu, Surat, Gujarat",21.15295,72.778545,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1
BEE_EV_PCS_2025,Ather,Private,Gujarat,Surat,Surat City,"48,49,Narayan Nagar Ind.,Vi-2 Behind Ttl (Textile Trade Link, Limbayat, Surat, Gujarat 395010",21.18029,72.860734,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1
BEE_EV_PCS_2025,Ather,Private,Gujarat,Surat,Surat City,"Bhatha, Surat, Gujarat 394510",21.185001,72.760181,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1
BEE_EV_PCS_2025,Ather,Private,Gujarat,Surat,Surat City,"1,2. Abhinandan Heights, Nr.Madhuvan Circle, Lp Savani Rd, Adajan Gam, Adajan, Surat, Gujarat",21.20145,72.793138,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1
BEE_EV_PCS_2025,Ather,Private,Gujarat,Surat,Surat City,"P767, Ashwini Kumar Road, New Gidc",21.228029,72.842445,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1
BEE_EV_PCS_2025,Ather,Private,Gujarat,Surat,Surat City,"Platinum Plaza, Neat Vt Circle, Sarthana Jakat Naka, Surat, Gujarat 395006",21.230447,72.908377,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1
